Type,Operation,String_expresion,CIR_regularizado,Explicit,String
DATE,anchor,10 days ago,<pad><pad><pad><pad>resta 10 d<pad><pad>,implicit,<date 10 days ago <pad><pad><pad><pad>resta 10 d<pad><pad>>
DATE,anchor,after 10 days,<pad><pad><pad><pad>resta 10 d<pad><pad>,implicit,<date after 10 days <pad><pad><pad><pad>resta 10 d<pad><pad>>
DATE,anchor,9 weeks ago,<pad><pad><pad><pad>resta 9 w<pad><pad>,implicit,<date 9 weeks ago <pad><pad><pad><pad>resta 9 w<pad><pad>>
DATE,anchor,the day after,<pad><pad><pad><pad>suma 1 d<pad><pad>,implicit,<date the day after <pad><pad><pad><pad>suma 1 d<pad><pad>>
DATE,anchor,9 weeks later,<pad><pad><pad><pad>suma 9 w<pad><pad>,implicit,<date 9 weeks later <pad><pad><pad><pad>suma 9 w<pad><pad>>
DATE,anchor,in 10 years,<pad><pad><pad><pad>suma 10 y<pad><pad>,implicit,<date in 10 years <pad><pad><pad><pad>suma 10 y<pad><pad>>
DATE,anchor,9 days before,<pad><pad><pad><pad>resta 9 d<pad><pad>,implicit,<date 9 days before <pad><pad><pad><pad>resta 9 d<pad><pad>>
DATE,anchor,within 3 days,<pad><pad><pad><pad>suma 3 d<pad><pad>,implicit,<date within 3 days <pad><pad><pad><pad>suma 3 d<pad><pad>>
DATE,anchor,the day after,<pad><pad><pad><pad>suma 1 d<pad><pad>,implicit,<date the day after <pad><pad><pad><pad>suma 1 d<pad><pad>>
DATE,anchor,this week,<pad><pad><pad><pad>neutro 0 w<pad><pad>,implicit,<date this week <pad><pad><pad><pad>neutro 0 w<pad><pad>>
DATE,anchor,to the third month,<pad><pad><pad><pad>suma 3 m<pad><pad>,implicit,<date to the third month <pad><pad><pad><pad>suma 3 m<pad><pad>>
DATE,anchor,the same week,<pad><pad><pad><pad>neutro 0 w<pad><pad>,implicit,<date the same week <pad><pad><pad><pad>neutro 0 w<pad><pad>>
DATE,anchor,3 years later,<pad><pad><pad><pad>suma 3 y<pad><pad>,implicit,<date 3 years later <pad><pad><pad><pad>suma 3 y<pad><pad>>
DATE,anchor,7 years later,<pad><pad><pad><pad>suma 7 y<pad><pad>,implicit,<date 7 years later <pad><pad><pad><pad>suma 7 y<pad><pad>>
DATE,anchor,2 months later,<pad><pad><pad><pad>suma 2 m<pad><pad>,implicit,<date 2 months later <pad><pad><pad><pad>suma 2 m<pad><pad>>
DATE,anchor,the present day,<pad><pad><pad><pad>neutro 0 d<pad><pad>,implicit,<date the present day <pad><pad><pad><pad>neutro 0 d<pad><pad>>
DATE,anchor,within a day,<pad><pad><pad><pad>suma 1 d<pad><pad>,implicit,<date within a day <pad><pad><pad><pad>suma 1 d<pad><pad>>
DATE,anchor,last day,<pad><pad><pad><pad>resta 1 d<pad><pad>,implicit,<date last day <pad><pad><pad><pad>resta 1 d<pad><pad>>
DATE,anchor,8 weeks ago,<pad><pad><pad><pad>resta 8 w<pad><pad>,implicit,<date 8 weeks ago <pad><pad><pad><pad>resta 8 w<pad><pad>>
DATE,anchor,next weekend,<pad><pad><pad><pad>suma 1 we<pad><pad>,implicit,<date next weekend <pad><pad><pad><pad>suma 1 we<pad><pad>>
DATE,anchor,7 weeks later,<pad><pad><pad><pad>suma 7 w<pad><pad>,implicit,<date 7 weeks later <pad><pad><pad><pad>suma 7 w<pad><pad>>
DATE,anchor,the day before,<pad><pad><pad><pad>resta 1 d<pad><pad>,implicit,<date the day before <pad><pad><pad><pad>resta 1 d<pad><pad>>
DATE,anchor,a week ago,<pad><pad><pad><pad>resta 1 w<pad><pad>,implicit,<date a week ago <pad><pad><pad><pad>resta 1 w<pad><pad>>
DATE,anchor,the previous month,<pad><pad><pad><pad>resta 1 m<pad><pad>,implicit,<date the previous month <pad><pad><pad><pad>resta 1 m<pad><pad>>
DATE,anchor,after 6 days,<pad><pad><pad><pad>resta 6 d<pad><pad>,implicit,<date after 6 days <pad><pad><pad><pad>resta 6 d<pad><pad>>
DATE,anchor,a month later,<pad><pad><pad><pad>suma 1 m<pad><pad>,implicit,<date a month later <pad><pad><pad><pad>suma 1 m<pad><pad>>
DATE,anchor,The same day,<pad><pad><pad><pad>neutro 0 d<pad><pad>,implicit,<date The same day <pad><pad><pad><pad>neutro 0 d<pad><pad>>
DATE,anchor,last week,<pad><pad><pad><pad>resta 1 w<pad><pad>,implicit,<date last week <pad><pad><pad><pad>resta 1 w<pad><pad>>
DATE,anchor,this week,<pad><pad><pad><pad>neutro 0 w<pad><pad>,implicit,<date this week <pad><pad><pad><pad>neutro 0 w<pad><pad>>
DATE,anchor,within 6 months,<pad><pad><pad><pad>suma 6 m<pad><pad>,implicit,<date within 6 months <pad><pad><pad><pad>suma 6 m<pad><pad>>
DATE,anchor,2 months ago,<pad><pad><pad><pad>resta 2 m<pad><pad>,implicit,<date 2 months ago <pad><pad><pad><pad>resta 2 m<pad><pad>>
DATE,anchor,9 weeks before,<pad><pad><pad><pad>resta 9 w<pad><pad>,implicit,<date 9 weeks before <pad><pad><pad><pad>resta 9 w<pad><pad>>
DATE,anchor,the previous year,<pad><pad><pad><pad>resta 1 y<pad><pad>,implicit,<date the previous year <pad><pad><pad><pad>resta 1 y<pad><pad>>
DATE,anchor,3 years ago,<pad><pad><pad><pad>resta 3 y<pad><pad>,implicit,<date 3 years ago <pad><pad><pad><pad>resta 3 y<pad><pad>>
DATE,anchor,last month,<pad><pad><pad><pad>resta 1 m<pad><pad>,implicit,<date last month <pad><pad><pad><pad>resta 1 m<pad><pad>>
DATE,anchor,this month,<pad><pad><pad><pad>neutro 0 m<pad><pad>,implicit,<date this month <pad><pad><pad><pad>neutro 0 m<pad><pad>>
DATE,anchor,next year,<pad><pad><pad><pad>suma 1 y<pad><pad>,implicit,<date next year <pad><pad><pad><pad>suma 1 y<pad><pad>>
DATE,anchor,5 days before,<pad><pad><pad><pad>resta 5 d<pad><pad>,implicit,<date 5 days before <pad><pad><pad><pad>resta 5 d<pad><pad>>
DATE,anchor,10 days before,<pad><pad><pad><pad>resta 10 d<pad><pad>,implicit,<date 10 days before <pad><pad><pad><pad>resta 10 d<pad><pad>>
DATE,anchor,7 years before,<pad><pad><pad><pad>resta 7 y<pad><pad>,implicit,<date 7 years before <pad><pad><pad><pad>resta 7 y<pad><pad>>
DATE,anchor,10 months ago,<pad><pad><pad><pad>resta 10 m<pad><pad>,implicit,<date 10 months ago <pad><pad><pad><pad>resta 10 m<pad><pad>>
DATE,anchor,after 5 days,<pad><pad><pad><pad>resta 5 d<pad><pad>,implicit,<date after 5 days <pad><pad><pad><pad>resta 5 d<pad><pad>>
DATE,anchor,9 years later,<pad><pad><pad><pad>suma 9 y<pad><pad>,implicit,<date 9 years later <pad><pad><pad><pad>suma 9 y<pad><pad>>
DATE,anchor,7 months ago,<pad><pad><pad><pad>resta 7 m<pad><pad>,implicit,<date 7 months ago <pad><pad><pad><pad>resta 7 m<pad><pad>>
DATE,anchor,Next year,<pad><pad><pad><pad>suma 1 y<pad><pad>,implicit,<date Next year <pad><pad><pad><pad>suma 1 y<pad><pad>>
DATE,anchor,to the seventh year,<pad><pad><pad><pad>suma 7 y<pad><pad>,implicit,<date to the seventh year <pad><pad><pad><pad>suma 7 y<pad><pad>>
DATE,anchor,within 4 weeks,<pad><pad><pad><pad>suma 4 w<pad><pad>,implicit,<date within 4 weeks <pad><pad><pad><pad>suma 4 w<pad><pad>>
DATE,anchor,this day,<pad><pad><pad><pad>neutro 0 d<pad><pad>,implicit,<date this day <pad><pad><pad><pad>neutro 0 d<pad><pad>>
DATE,anchor,the weekend after,<pad><pad><pad><pad>suma 1 we<pad><pad>,implicit,<date the weekend after <pad><pad><pad><pad>suma 1 we<pad><pad>>
DATE,anchor,5 days later,<pad><pad><pad><pad>suma 5 d<pad><pad>,implicit,<date 5 days later <pad><pad><pad><pad>suma 5 d<pad><pad>>
DATE,anchor,after a year,<pad><pad><pad><pad>suma 1 y<pad><pad>,implicit,<date after a year <pad><pad><pad><pad>suma 1 y<pad><pad>>
DATE,anchor,7 years ago,<pad><pad><pad><pad>resta 7 y<pad><pad>,implicit,<date 7 years ago <pad><pad><pad><pad>resta 7 y<pad><pad>>
DATE,anchor,7 months ago,<pad><pad><pad><pad>resta 7 m<pad><pad>,implicit,<date 7 months ago <pad><pad><pad><pad>resta 7 m<pad><pad>>
DATE,anchor,within 4 weeks,<pad><pad><pad><pad>suma 4 w<pad><pad>,implicit,<date within 4 weeks <pad><pad><pad><pad>suma 4 w<pad><pad>>
DATE,anchor,10 weeks ago,<pad><pad><pad><pad>resta 10 w<pad><pad>,implicit,<date 10 weeks ago <pad><pad><pad><pad>resta 10 w<pad><pad>>
DATE,anchor,5 years later,<pad><pad><pad><pad>suma 5 y<pad><pad>,implicit,<date 5 years later <pad><pad><pad><pad>suma 5 y<pad><pad>>
DATE,anchor,within a week,<pad><pad><pad><pad>suma 1 w<pad><pad>,implicit,<date within a week <pad><pad><pad><pad>suma 1 w<pad><pad>>
DATE,anchor,10 years before,<pad><pad><pad><pad>resta 10 y<pad><pad>,implicit,<date 10 years before <pad><pad><pad><pad>resta 10 y<pad><pad>>
DATE,anchor,3 weeks before,<pad><pad><pad><pad>resta 3 w<pad><pad>,implicit,<date 3 weeks before <pad><pad><pad><pad>resta 3 w<pad><pad>>
DATE,anchor,this weekend,<pad><pad><pad><pad>neutro 0 we<pad><pad>,implicit,<date this weekend <pad><pad><pad><pad>neutro 0 we<pad><pad>>
DATE,anchor,next weekend,<pad><pad><pad><pad>suma 1 we<pad><pad>,implicit,<date next weekend <pad><pad><pad><pad>suma 1 we<pad><pad>>
DATE,anchor,7 years later,<pad><pad><pad><pad>suma 7 y<pad><pad>,implicit,<date 7 years later <pad><pad><pad><pad>suma 7 y<pad><pad>>
DATE,anchor,the next month,<pad><pad><pad><pad>suma 1 m<pad><pad>,implicit,<date the next month <pad><pad><pad><pad>suma 1 m<pad><pad>>
DATE,anchor,this month,<pad><pad><pad><pad>neutro 0 m<pad><pad>,implicit,<date this month <pad><pad><pad><pad>neutro 0 m<pad><pad>>
DATE,anchor,2 months later,<pad><pad><pad><pad>suma 2 m<pad><pad>,implicit,<date 2 months later <pad><pad><pad><pad>suma 2 m<pad><pad>>
DATE,anchor,the next day,<pad><pad><pad><pad>suma 1 d<pad><pad>,implicit,<date the next day <pad><pad><pad><pad>suma 1 d<pad><pad>>
DATE,anchor,last week,<pad><pad><pad><pad>resta 1 w<pad><pad>,implicit,<date last week <pad><pad><pad><pad>resta 1 w<pad><pad>>
DATE,anchor,a week ago,<pad><pad><pad><pad>resta 1 w<pad><pad>,implicit,<date a week ago <pad><pad><pad><pad>resta 1 w<pad><pad>>
DATE,anchor,4 years before,<pad><pad><pad><pad>resta 4 y<pad><pad>,implicit,<date 4 years before <pad><pad><pad><pad>resta 4 y<pad><pad>>
DATE,anchor,within 4 weeks,<pad><pad><pad><pad>suma 4 w<pad><pad>,implicit,<date within 4 weeks <pad><pad><pad><pad>suma 4 w<pad><pad>>
DATE,anchor,to the sixth year,<pad><pad><pad><pad>suma 6 y<pad><pad>,implicit,<date to the sixth year <pad><pad><pad><pad>suma 6 y<pad><pad>>
DATE,anchor,2 months later,<pad><pad><pad><pad>suma 2 m<pad><pad>,implicit,<date 2 months later <pad><pad><pad><pad>suma 2 m<pad><pad>>
DATE,anchor,within 5 years,<pad><pad><pad><pad>suma 5 y<pad><pad>,implicit,<date within 5 years <pad><pad><pad><pad>suma 5 y<pad><pad>>
DATE,anchor,after a day,<pad><pad><pad><pad>suma 1 d<pad><pad>,implicit,<date after a day <pad><pad><pad><pad>suma 1 d<pad><pad>>
DATE,anchor,the same week,<pad><pad><pad><pad>neutro 0 w<pad><pad>,implicit,<date the same week <pad><pad><pad><pad>neutro 0 w<pad><pad>>
DATE,anchor,7 years ago,<pad><pad><pad><pad>resta 7 y<pad><pad>,implicit,<date 7 years ago <pad><pad><pad><pad>resta 7 y<pad><pad>>
DATE,anchor,after 2 months,<pad><pad><pad><pad>resta 2 m<pad><pad>,implicit,<date after 2 months <pad><pad><pad><pad>resta 2 m<pad><pad>>
DATE,anchor,in 9 years,<pad><pad><pad><pad>suma 9 y<pad><pad>,implicit,<date in 9 years <pad><pad><pad><pad>suma 9 y<pad><pad>>
DATE,anchor,The same day,<pad><pad><pad><pad>neutro 0 d<pad><pad>,implicit,<date The same day <pad><pad><pad><pad>neutro 0 d<pad><pad>>
DATE,anchor,after 3 days,<pad><pad><pad><pad>resta 3 d<pad><pad>,implicit,<date after 3 days <pad><pad><pad><pad>resta 3 d<pad><pad>>
DATE,anchor,after 8 days,<pad><pad><pad><pad>resta 8 d<pad><pad>,implicit,<date after 8 days <pad><pad><pad><pad>resta 8 d<pad><pad>>
DATE,anchor,5 years later,<pad><pad><pad><pad>suma 5 y<pad><pad>,implicit,<date 5 years later <pad><pad><pad><pad>suma 5 y<pad><pad>>
DATE,anchor,this year,<pad><pad><pad><pad>neutro 0 y<pad><pad>,implicit,<date this year <pad><pad><pad><pad>neutro 0 y<pad><pad>>
DATE,anchor,this year,<pad><pad><pad><pad>neutro 0 y<pad><pad>,implicit,<date this year <pad><pad><pad><pad>neutro 0 y<pad><pad>>
DATE,anchor,after 2 years,<pad><pad><pad><pad>resta 2 y<pad><pad>,implicit,<date after 2 years <pad><pad><pad><pad>resta 2 y<pad><pad>>
DATE,anchor,within 6 weeks,<pad><pad><pad><pad>suma 6 w<pad><pad>,implicit,<date within 6 weeks <pad><pad><pad><pad>suma 6 w<pad><pad>>
DATE,anchor,the present day,<pad><pad><pad><pad>neutro 0 d<pad><pad>,implicit,<date the present day <pad><pad><pad><pad>neutro 0 d<pad><pad>>
DATE,anchor,7 months later,<pad><pad><pad><pad>suma 7 m<pad><pad>,implicit,<date 7 months later <pad><pad><pad><pad>suma 7 m<pad><pad>>
DATE,anchor,to the fifth year,<pad><pad><pad><pad>suma 5 y<pad><pad>,implicit,<date to the fifth year <pad><pad><pad><pad>suma 5 y<pad><pad>>
DATE,anchor,the previous month,<pad><pad><pad><pad>resta 1 m<pad><pad>,implicit,<date the previous month <pad><pad><pad><pad>resta 1 m<pad><pad>>
DATE,anchor,within 7 days,<pad><pad><pad><pad>suma 7 d<pad><pad>,implicit,<date within 7 days <pad><pad><pad><pad>suma 7 d<pad><pad>>
DATE,anchor,after 6 years,<pad><pad><pad><pad>resta 6 y<pad><pad>,implicit,<date after 6 years <pad><pad><pad><pad>resta 6 y<pad><pad>>
DATE,anchor,this week,<pad><pad><pad><pad>neutro 0 w<pad><pad>,implicit,<date this week <pad><pad><pad><pad>neutro 0 w<pad><pad>>
DATE,anchor,same year,<pad><pad><pad><pad>neutro 0 y<pad><pad>,implicit,<date same year <pad><pad><pad><pad>neutro 0 y<pad><pad>>
DATE,anchor,10 months ago,<pad><pad><pad><pad>resta 10 m<pad><pad>,implicit,<date 10 months ago <pad><pad><pad><pad>resta 10 m<pad><pad>>
DATE,anchor,in 2 years,<pad><pad><pad><pad>suma 2 y<pad><pad>,implicit,<date in 2 years <pad><pad><pad><pad>suma 2 y<pad><pad>>
DATE,anchor,6 weeks before,<pad><pad><pad><pad>resta 6 w<pad><pad>,implicit,<date 6 weeks before <pad><pad><pad><pad>resta 6 w<pad><pad>>
DATE,anchor,the day after,<pad><pad><pad><pad>suma 1 d<pad><pad>,implicit,<date the day after <pad><pad><pad><pad>suma 1 d<pad><pad>>
DATE,anchor,7 years later,<pad><pad><pad><pad>suma 7 y<pad><pad>,implicit,<date 7 years later <pad><pad><pad><pad>suma 7 y<pad><pad>>
DATE,anchor,the previous month,<pad><pad><pad><pad>resta 1 m<pad><pad>,implicit,<date the previous month <pad><pad><pad><pad>resta 1 m<pad><pad>>
DATE,anchor,5 weeks ago,<pad><pad><pad><pad>resta 5 w<pad><pad>,implicit,<date 5 weeks ago <pad><pad><pad><pad>resta 5 w<pad><pad>>
DATE,anchor,the present day,<pad><pad><pad><pad>neutro 0 d<pad><pad>,implicit,<date the present day <pad><pad><pad><pad>neutro 0 d<pad><pad>>
DATE,anchor,9 weeks ago,<pad><pad><pad><pad>resta 9 w<pad><pad>,implicit,<date 9 weeks ago <pad><pad><pad><pad>resta 9 w<pad><pad>>
DATE,anchor,4 months later,<pad><pad><pad><pad>suma 4 m<pad><pad>,implicit,<date 4 months later <pad><pad><pad><pad>suma 4 m<pad><pad>>
DATE,anchor,2 months ago,<pad><pad><pad><pad>resta 2 m<pad><pad>,implicit,<date 2 months ago <pad><pad><pad><pad>resta 2 m<pad><pad>>
DATE,anchor,4 months later,<pad><pad><pad><pad>suma 4 m<pad><pad>,implicit,<date 4 months later <pad><pad><pad><pad>suma 4 m<pad><pad>>
DATE,anchor,last day,<pad><pad><pad><pad>resta 1 d<pad><pad>,implicit,<date last day <pad><pad><pad><pad>resta 1 d<pad><pad>>
DATE,anchor,the week after,<pad><pad><pad><pad>suma 1 w<pad><pad>,implicit,<date the week after <pad><pad><pad><pad>suma 1 w<pad><pad>>
DATE,anchor,within a day,<pad><pad><pad><pad>suma 1 d<pad><pad>,implicit,<date within a day <pad><pad><pad><pad>suma 1 d<pad><pad>>
DATE,anchor,to the fifth month,<pad><pad><pad><pad>suma 5 m<pad><pad>,implicit,<date to the fifth month <pad><pad><pad><pad>suma 5 m<pad><pad>>
DATE,anchor,a year later,<pad><pad><pad><pad>suma 1 y<pad><pad>,implicit,<date a year later <pad><pad><pad><pad>suma 1 y<pad><pad>>
DATE,anchor,this week,<pad><pad><pad><pad>neutro 0 w<pad><pad>,implicit,<date this week <pad><pad><pad><pad>neutro 0 w<pad><pad>>
DATE,anchor,7 days ago,<pad><pad><pad><pad>resta 7 d<pad><pad>,implicit,<date 7 days ago <pad><pad><pad><pad>resta 7 d<pad><pad>>
DATE,anchor,The next day,<pad><pad><pad><pad>suma 1 d<pad><pad>,implicit,<date The next day <pad><pad><pad><pad>suma 1 d<pad><pad>>
DATE,anchor,after a day,<pad><pad><pad><pad>suma 1 d<pad><pad>,implicit,<date after a day <pad><pad><pad><pad>suma 1 d<pad><pad>>
DATE,anchor,next week,<pad><pad><pad><pad>suma 5 w<pad><pad>,implicit,<date next week <pad><pad><pad><pad>suma 5 w<pad><pad>>
DATE,anchor,this month,<pad><pad><pad><pad>neutro 0 m<pad><pad>,implicit,<date this month <pad><pad><pad><pad>neutro 0 m<pad><pad>>
DATE,anchor,7 days later,<pad><pad><pad><pad>suma 7 d<pad><pad>,implicit,<date 7 days later <pad><pad><pad><pad>suma 7 d<pad><pad>>
DATE,anchor,2 years ago,<pad><pad><pad><pad>resta 2 y<pad><pad>,implicit,<date 2 years ago <pad><pad><pad><pad>resta 2 y<pad><pad>>
DATE,anchor,10 months ago,<pad><pad><pad><pad>resta 10 m<pad><pad>,implicit,<date 10 months ago <pad><pad><pad><pad>resta 10 m<pad><pad>>
DATE,anchor,to the second year,<pad><pad><pad><pad>suma 2 y<pad><pad>,implicit,<date to the second year <pad><pad><pad><pad>suma 2 y<pad><pad>>
DATE,anchor,4 days later,<pad><pad><pad><pad>suma 4 d<pad><pad>,implicit,<date 4 days later <pad><pad><pad><pad>suma 4 d<pad><pad>>
DATE,anchor,10 days later,<pad><pad><pad><pad>suma 10 d<pad><pad>,implicit,<date 10 days later <pad><pad><pad><pad>suma 10 d<pad><pad>>
DATE,anchor,4 years ago,<pad><pad><pad><pad>resta 4 y<pad><pad>,implicit,<date 4 years ago <pad><pad><pad><pad>resta 4 y<pad><pad>>
DATE,anchor,within 10 days,<pad><pad><pad><pad>suma 10 d<pad><pad>,implicit,<date within 10 days <pad><pad><pad><pad>suma 10 d<pad><pad>>
DATE,anchor,the previous year,<pad><pad><pad><pad>resta 1 y<pad><pad>,implicit,<date the previous year <pad><pad><pad><pad>resta 1 y<pad><pad>>
DATE,anchor,after 2 years,<pad><pad><pad><pad>resta 2 y<pad><pad>,implicit,<date after 2 years <pad><pad><pad><pad>resta 2 y<pad><pad>>
DATE,anchor,this week,<pad><pad><pad><pad>neutro 0 w<pad><pad>,implicit,<date this week <pad><pad><pad><pad>neutro 0 w<pad><pad>>
DATE,anchor,this day,<pad><pad><pad><pad>neutro 0 d<pad><pad>,implicit,<date this day <pad><pad><pad><pad>neutro 0 d<pad><pad>>
DATE,anchor,7 months ago,<pad><pad><pad><pad>resta 7 m<pad><pad>,implicit,<date 7 months ago <pad><pad><pad><pad>resta 7 m<pad><pad>>
DATE,anchor,the present day,<pad><pad><pad><pad>neutro 0 d<pad><pad>,implicit,<date the present day <pad><pad><pad><pad>neutro 0 d<pad><pad>>
DATE,anchor,6 days ago,<pad><pad><pad><pad>resta 6 d<pad><pad>,implicit,<date 6 days ago <pad><pad><pad><pad>resta 6 d<pad><pad>>
DATE,anchor,this month,<pad><pad><pad><pad>neutro 0 m<pad><pad>,implicit,<date this month <pad><pad><pad><pad>neutro 0 m<pad><pad>>
DATE,anchor,the current year,<pad><pad><pad><pad>neutro 0 y<pad><pad>,implicit,<date the current year <pad><pad><pad><pad>neutro 0 y<pad><pad>>
DATE,anchor,to the third month,<pad><pad><pad><pad>suma 3 m<pad><pad>,implicit,<date to the third month <pad><pad><pad><pad>suma 3 m<pad><pad>>
DATE,anchor,within 10 days,<pad><pad><pad><pad>suma 10 d<pad><pad>,implicit,<date within 10 days <pad><pad><pad><pad>suma 10 d<pad><pad>>
DATE,anchor,within 8 days,<pad><pad><pad><pad>suma 8 d<pad><pad>,implicit,<date within 8 days <pad><pad><pad><pad>suma 8 d<pad><pad>>
DATE,anchor,within 7 weeks,<pad><pad><pad><pad>suma 7 w<pad><pad>,implicit,<date within 7 weeks <pad><pad><pad><pad>suma 7 w<pad><pad>>
DATE,anchor,this week,<pad><pad><pad><pad>neutro 0 w<pad><pad>,implicit,<date this week <pad><pad><pad><pad>neutro 0 w<pad><pad>>
DATE,anchor,a week,<pad><pad><pad><pad>suma 1 w<pad><pad>,implicit,<date a week <pad><pad><pad><pad>suma 1 w<pad><pad>>
DATE,anchor,10 years before,<pad><pad><pad><pad>resta 10 y<pad><pad>,implicit,<date 10 years before <pad><pad><pad><pad>resta 10 y<pad><pad>>
DATE,anchor,The next day,<pad><pad><pad><pad>suma 1 d<pad><pad>,implicit,<date The next day <pad><pad><pad><pad>suma 1 d<pad><pad>>
DATE,anchor,last month,<pad><pad><pad><pad>resta 1 m<pad><pad>,implicit,<date last month <pad><pad><pad><pad>resta 1 m<pad><pad>>
DATE,anchor,4 years ago,<pad><pad><pad><pad>resta 4 y<pad><pad>,implicit,<date 4 years ago <pad><pad><pad><pad>resta 4 y<pad><pad>>
DATE,anchor,after 2 years,<pad><pad><pad><pad>resta 2 y<pad><pad>,implicit,<date after 2 years <pad><pad><pad><pad>resta 2 y<pad><pad>>
DATE,anchor,after a week,<pad><pad><pad><pad>suma 1 w<pad><pad>,implicit,<date after a week <pad><pad><pad><pad>suma 1 w<pad><pad>>
DATE,anchor,a year later,<pad><pad><pad><pad>suma 1 y<pad><pad>,implicit,<date a year later <pad><pad><pad><pad>suma 1 y<pad><pad>>
DATE,anchor,8 days ago,<pad><pad><pad><pad>resta 8 d<pad><pad>,implicit,<date 8 days ago <pad><pad><pad><pad>resta 8 d<pad><pad>>
DATE,anchor,7 days ago,<pad><pad><pad><pad>resta 7 d<pad><pad>,implicit,<date 7 days ago <pad><pad><pad><pad>resta 7 d<pad><pad>>
DATE,anchor,after 10 days,<pad><pad><pad><pad>resta 10 d<pad><pad>,implicit,<date after 10 days <pad><pad><pad><pad>resta 10 d<pad><pad>>
DATE,anchor,5 days later,<pad><pad><pad><pad>suma 5 d<pad><pad>,implicit,<date 5 days later <pad><pad><pad><pad>suma 5 d<pad><pad>>
DATE,anchor,after 10 weeks,<pad><pad><pad><pad>resta 10 w<pad><pad>,implicit,<date after 10 weeks <pad><pad><pad><pad>resta 10 w<pad><pad>>
DATE,anchor,to the sixth year,<pad><pad><pad><pad>suma 6 y<pad><pad>,implicit,<date to the sixth year <pad><pad><pad><pad>suma 6 y<pad><pad>>
DATE,anchor,after 2 days,<pad><pad><pad><pad>resta 2 d<pad><pad>,implicit,<date after 2 days <pad><pad><pad><pad>resta 2 d<pad><pad>>
DATE,anchor,the day before,<pad><pad><pad><pad>resta 1 d<pad><pad>,implicit,<date the day before <pad><pad><pad><pad>resta 1 d<pad><pad>>
DATE,Danchor,Next day the 13th,<pad><pad><pad>13 suma<pad><pad><pad><pad>,implicit,<date Next day the 13th <pad><pad><pad>13 suma<pad><pad><pad><pad>>
DATE,Danchor,The following March 23,<pad>03<pad>23 suma<pad><pad><pad><pad>,implicit,<date The following March 23 <pad>03<pad>23 suma<pad><pad><pad><pad>>
DATE,Danchor,The previous July 13,<pad>07<pad>13 resta<pad><pad><pad><pad>,implicit,<date The previous July 13 <pad>07<pad>13 resta<pad><pad><pad><pad>>
DATE,Danchor,The previous day 7,<pad><pad><pad>07 resta<pad><pad><pad><pad>,implicit,<date The previous day 7 <pad><pad><pad>07 resta<pad><pad><pad><pad>>
DATE,Danchor,On March 4th last,<pad>03<pad>04 resta<pad><pad><pad><pad>,implicit,<date On March 4th last <pad>03<pad>04 resta<pad><pad><pad><pad>>
DATE,Danchor,The next day 3,<pad><pad><pad>03 suma<pad><pad><pad><pad>,implicit,<date The next day 3 <pad><pad><pad>03 suma<pad><pad><pad><pad>>
DATE,Danchor,The previous June 4,<pad>06<pad>04 resta<pad><pad><pad><pad>,implicit,<date The previous June 4 <pad>06<pad>04 resta<pad><pad><pad><pad>>
DATE,Danchor,The next day 3,<pad><pad><pad>03 suma<pad><pad><pad><pad>,implicit,<date The next day 3 <pad><pad><pad>03 suma<pad><pad><pad><pad>>
DATE,Danchor,Last March 6th,<pad>03<pad>06 resta<pad><pad><pad><pad>,implicit,<date Last March 6th <pad>03<pad>06 resta<pad><pad><pad><pad>>
DATE,Danchor,The following February 5th,<pad>02<pad>05 suma<pad><pad><pad><pad>,implicit,<date The following February 5th <pad>02<pad>05 suma<pad><pad><pad><pad>>
DATE,Danchor,Next day the 30th,<pad><pad><pad>30 suma<pad><pad><pad><pad>,implicit,<date Next day the 30th <pad><pad><pad>30 suma<pad><pad><pad><pad>>
DATE,Danchor,Last day 3,<pad><pad><pad>03 resta<pad><pad><pad><pad>,implicit,<date Last day 3 <pad><pad><pad>03 resta<pad><pad><pad><pad>>
DATE,Danchor,Next October twenty-eighth,<pad>10<pad>28 suma<pad><pad><pad><pad>,implicit,<date Next October twenty-eighth <pad>10<pad>28 suma<pad><pad><pad><pad>>
DATE,Danchor,The previous day 18,<pad><pad><pad>18 resta<pad><pad><pad><pad>,implicit,<date The previous day 18 <pad><pad><pad>18 resta<pad><pad><pad><pad>>
DATE,Danchor,Last November 12th,<pad>11<pad>12 resta<pad><pad><pad><pad>,implicit,<date Last November 12th <pad>11<pad>12 resta<pad><pad><pad><pad>>
DATE,Danchor,The previous day 16th,<pad><pad><pad>16 resta<pad><pad><pad><pad>,implicit,<date The previous day 16th <pad><pad><pad>16 resta<pad><pad><pad><pad>>
DATE,Danchor,The 4th of July after,<pad>07<pad>04 suma<pad><pad><pad><pad>,implicit,<date The 4th of July after <pad>07<pad>04 suma<pad><pad><pad><pad>>
DATE,Danchor,Next day the 10th,<pad><pad><pad>10 suma<pad><pad><pad><pad>,implicit,<date Next day the 10th <pad><pad><pad>10 suma<pad><pad><pad><pad>>
DATE,Danchor,The previous July 10,<pad>07<pad>10 resta<pad><pad><pad><pad>,implicit,<date The previous July 10 <pad>07<pad>10 resta<pad><pad><pad><pad>>
DATE,Danchor,Next July 15,<pad>07<pad>15 suma<pad><pad><pad><pad>,implicit,<date Next July 15 <pad>07<pad>15 suma<pad><pad><pad><pad>>
